Hour,Solar_Input,Load_Demand
1,0.98,12.97
2,-2.84,11.59
3,2.55,12.25
4,0.39,13.39
5,3.42,12.0
6,4.7,14.22
7,-0.75,11.72
8,13.47,10.69
9,27.69,13.4
10,37.97,14.59
11,40.56,11.87
12,53.13,10.09
13,53.07,11.1
14,53.27,11.82
15,44.87,10.52
16,33.65,11.18
17,29.73,10.39
18,14.55,11.64
19,1.96,11.46
20,1.83,14.44
21,-1.98,10.4
22,-1.42,14.87
23,0.01,13.4
24,-4.69,12.79
25,1.68,10.38
26,-4.58,11.19
27,3.69,11.76
28,0.63,13.65
29,2.71,11.6
30,-2.11,14.67
31,4.03,13.14
32,19.48,14.57
33,25.01,12.27
34,41.1,12.83
35,41.03,10.18
36,48.54,12.57
37,53.98,14.7
38,46.82,13.09
39,46.03,12.52
40,41.21,12.87
41,23.18,11.89
42,13.18,12.94
43,-0.97,13.32
44,4.82,14.36
45,3.77,12.37
46,4.61,10.71
47,4.95,14.37
48,-1.51,14.71
49,-0.34,14.11
50,0.18,14.7
51,-0.03,13.82
52,-0.76,12.41
53,0.12,14.78
54,0.38,10.53
55,3.88,12.86
56,18.26,11.36
57,23.27,12.43
58,35.0,13.89
59,42.45,13.09
60,48.3,12.31
61,50.83,13.44
62,45.4,13.15
63,42.54,13.66
64,35.84,11.71
65,27.76,10.07
66,18.59,11.23
67,-2.39,12.37
68,-2.61,13.75
69,-2.63,11.81
70,-4.86,12.17
71,3.71,14.1
72,1.28,12.67
73,2.14,11.58
74,-4.93,11.3
75,0.56,10.93
76,-4.55,11.38
77,-3.07,14.48
78,2.46,14.2
79,1.17,11.73
80,11.69,10.42
81,26.71,13.85
82,38.09,12.21
83,48.34,12.05
84,51.48,14.68
85,53.56,10.84
86,46.51,14.84
87,39.94,12.25
88,37.56,10.61
89,28.95,11.27
90,13.71,11.24
91,-1.95,12.86
92,-1.08,13.68
93,2.38,12.55
94,3.9,10.87
95,-3.23,11.54
96,-4.18,13.64
97,1.56,13.26
98,0.71,14.57
99,4.27,11.6
100,-1.68,12.37
101,-0.65,13.74
102,-4.13,13.26
103,-3.51,13.34
104,12.69,10.76
105,25.25,13.29
106,39.53,10.47
107,42.51,10.9
108,45.95,10.96
109,51.49,10.47
110,44.03,10.35
111,48.45,11.5
112,41.93,11.61
113,31.81,13.77
114,18.68,12.28
115,4.58,13.33
116,-0.84,14.88
117,-3.06,12.21
118,-4.26,10.81
119,-1.96,12.39
120,4.55,10.23
121,-3.82,10.93
122,1.38,12.62
123,-0.55,13.24
124,3.27,12.17
125,0.56,11.06
126,-4.09,14.6
127,-3.68,10.15
128,19.16,14.32
129,28.11,13.28
130,37.73,10.28
131,48.08,13.09
132,50.65,12.01
133,47.17,11.21
134,49.24,10.16
135,46.8,10.59
136,39.44,11.63
137,32.36,11.29
138,11.94,13.98
139,3.09,11.68
140,-2.3,12.82
141,3.27,11.85
142,4.58,11.42
143,-1.9,10.5
144,-0.99,10.82
145,2.83,10.39
146,-4.6,14.89
147,0.35,14.19
148,4.19,10.31
149,-1.14,11.92
150,-3.52,12.36
151,3.87,14.64
152,17.05,11.92
153,29.7,11.31
154,36.03,11.73
155,48.65,14.69
156,53.1,13.07
157,54.14,14.55
158,46.69,11.75
159,41.11,11.52
160,39.12,11.61
161,27.25,10.46
162,13.26,12.18
163,1.24,10.26
164,4.53,13.74
165,-0.55,13.42
166,3.78,11.55
167,2.04,12.02
168,-0.35,10.85
169,-2.83,14.2
170,-4.63,11.2
171,-2.4,10.36
172,-1.14,11.54
173,0.96,14.54
174,3.11,13.52
175,2.42,11.55
176,13.21,10.27
177,26.57,14.89
178,35.51,10.59
179,42.67,12.77
180,49.5,11.02
181,48.18,12.69
182,44.88,11.92
183,44.76,13.9
184,36.59,11.68
185,27.95,10.12
186,20.15,10.04
187,-2.06,10.66
188,-1.7,12.74
189,-0.86,13.53
190,-0.25,12.35
191,-0.56,11.36
192,-2.93,12.09
193,-3.05,10.48
194,2.41,14.82
195,-1.85,12.08
196,2.3,12.26
197,4.28,10.65
198,1.26,10.15
199,-3.6,14.65
200,14.61,10.16
201,23.51,13.24
202,37.32,11.69
203,45.9,10.56
204,44.99,14.61
205,53.09,13.96
206,52.22,12.38
207,42.66,10.7
208,33.92,11.28
209,32.57,11.19
210,17.71,10.73
211,0.86,13.68
212,1.0,12.26
213,-1.81,13.37
214,-0.55,12.01
215,-0.77,14.85
216,1.67,12.92
217,-3.5,13.26
218,-1.11,11.84
219,3.59,13.22
220,-0.93,14.26
221,4.04,13.99
222,-2.66,11.59
223,-3.34,13.73
224,14.68,10.76
225,25.65,12.48
226,35.67,10.89
227,42.68,14.06
228,46.21,11.82
229,45.14,12.54
230,44.14,13.38
231,44.02,10.41
232,35.11,11.13
233,28.56,12.64
234,12.91,14.48
235,-4.24,11.15
236,2.9,11.99
237,3.23,12.44
238,3.68,12.04
239,4.16,11.08
240,4.05,10.95
241,-2.25,13.93
242,3.83,10.09
243,-1.88,13.67
244,-3.95,12.9
245,-3.52,13.96
246,-0.1,11.25
247,-3.0,14.82
248,20.26,11.64
249,23.18,13.31
250,32.78,10.28
251,46.63,13.8
252,45.56,10.26
253,53.41,13.37
254,46.48,10.6
255,46.45,13.2
256,40.46,13.3
257,31.71,11.66
258,18.01,10.97
259,0.49,10.41
260,1.9,11.83
261,-2.73,12.83
262,2.55,12.78
263,4.2,11.57
264,0.28,14.47
265,4.32,11.68
266,3.6,14.08
267,-0.37,12.11
268,-3.19,10.55
269,0.55,11.77
270,4.99,13.01
271,2.79,13.11
272,14.07,12.85
273,30.11,14.96
274,41.05,14.23
275,48.88,12.65
276,48.92,11.32
277,54.31,14.18
278,53.36,14.56
279,45.87,11.95
280,40.8,13.8
281,25.5,13.9
282,19.68,11.61
283,-3.38,14.08
284,0.61,12.89
285,3.29,13.11
286,1.15,12.74
287,-0.79,14.27
288,2.93,13.84
289,-1.75,11.1
290,-2.07,12.31
291,3.89,10.5
292,-2.91,14.55
293,2.11,14.08
294,-2.5,14.45
295,-1.41,12.56
296,18.71,11.77
297,32.63,13.4
298,37.64,14.53
299,46.59,11.77
300,52.5,14.8
301,51.27,12.9
302,44.04,13.34
303,44.63,13.23
304,38.59,10.0
305,29.26,10.49
306,14.22,13.96
307,2.06,13.94
308,1.58,13.22
309,2.82,10.76
310,2.14,10.6
311,2.82,11.7
312,4.25,14.84
313,-2.41,13.42
314,-2.96,11.96
315,1.97,14.26
316,-4.2,10.7
317,-0.56,14.4
318,3.93,13.43
319,3.87,11.99
320,19.95,12.08
321,31.22,10.75
322,40.11,10.91
323,42.39,10.94
324,48.29,13.81
325,53.65,12.49
326,52.19,11.96
327,40.92,11.89
328,34.28,11.65
329,23.2,12.37
330,16.13,13.8
331,2.31,11.37
332,-4.59,11.62
333,-2.85,10.47
334,-3.67,14.51
335,-2.91,11.1
336,4.93,10.0
337,2.49,12.79
338,-1.51,12.7
339,-4.73,13.83
340,1.38,12.16
341,1.52,13.0
342,1.77,14.97
343,3.5,13.8
344,14.87,11.06
345,28.97,14.93
346,39.27,11.06
347,39.84,10.37
348,45.49,10.02
349,48.13,14.34
350,48.55,14.03
351,48.61,11.08
352,38.94,13.98
353,24.14,10.75
354,12.07,10.33
355,4.95,10.65
356,-3.66,11.84
357,2.43,13.9
358,-0.96,11.04
359,4.65,12.62
360,0.12,12.44
361,-1.72,14.11
362,-3.86,10.33
363,-1.27,14.51
364,0.93,11.27
365,0.92,12.65
366,-4.61,11.92
367,-4.57,12.91
368,10.78,13.85
369,23.21,13.22
370,41.15,12.7
371,40.15,10.74
372,43.71,11.93
373,54.83,13.17
374,51.99,12.92
375,46.17,11.48
376,37.9,10.44
377,25.11,10.51
378,11.42,14.41
379,3.53,12.88
380,4.4,14.88
381,3.38,14.37
382,1.95,12.54
383,-0.77,10.57
384,2.4,10.09
385,2.29,12.69
386,0.62,14.22
387,3.7,13.07
388,-3.98,13.8
389,4.98,14.52
390,2.09,14.34
391,-3.5,11.49
392,17.57,14.5
393,26.05,10.33
394,40.59,14.19
395,46.33,13.98
396,50.04,12.44
397,52.77,12.02
398,51.49,14.72
399,47.38,10.54
400,36.13,13.1
401,24.48,14.94
402,12.73,12.15
403,0.72,12.04
404,-4.39,14.84
405,4.87,10.83
406,-0.89,15.0
407,4.74,11.6
408,-4.86,12.95
409,2.91,14.74
410,0.53,12.92
411,-4.75,14.78
412,0.95,10.25
413,2.03,13.55
414,1.51,14.21
415,-1.97,10.41
416,16.45,13.71
417,25.79,14.05
418,37.87,12.56
419,46.4,13.56
420,48.14,14.16
421,46.4,14.74
422,51.34,10.72
423,45.92,12.48
424,33.73,13.45
425,24.35,10.44
426,12.44,10.34
427,3.48,12.01
428,-0.2,12.85
429,0.53,12.24
430,2.51,12.71
431,2.71,10.76
432,2.22,10.3
433,2.09,10.8
434,0.38,13.25
435,2.77,12.99
436,4.36,11.11
437,-0.74,11.88
438,-0.05,10.08
439,3.55,14.85
440,12.99,13.83
441,32.22,11.73
442,34.64,13.4
443,42.15,13.84
444,50.93,10.58
445,52.95,12.29
446,50.23,11.99
447,42.96,13.04
448,41.21,12.3
449,24.43,14.29
450,13.86,13.54
451,2.0,10.99
452,-3.48,11.77
453,2.88,13.27
454,4.82,11.52
455,3.14,10.63
456,4.62,12.63
457,-3.87,13.1
458,1.99,11.84
459,3.76,11.84
