front_index,volume_m3,head_m,pipe_diameter_m,pump_power_kw,turbine_power_kw,efficiency,cost,ml_autonomy_days,location,pv_kwp,daily_energy_kwh,required_autonomy_days,budget_lkr,reservoir_type
0,249.98240859658358,41.69717616930262,0.08651910872822383,2.0476722917007337,2.038385310223058,71.26167297363281,2594926.234737963,0.5252110362052917,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
1,249.905518451548,40.41928925656788,0.09009790686614394,2.04009483849878,2.1238407605262677,71.3857192993164,2602633.5593610974,0.5001482367515564,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
2,249.9807957984548,40.47691851434314,0.09104732275653254,2.4743035283491723,2.0429527310036404,71.58624267578125,2610349.89868159,0.5015823245048523,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
3,249.905518451548,41.914829531029184,0.08998518563524506,2.0402793486226556,2.1245983595346973,71.64946746826172,2610504.1879817313,0.5258243083953857,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
4,249.9335884359978,40.29087060068988,0.09350905814533782,2.0981903330374303,2.042002375392167,71.87129211425781,2613842.0164040495,0.5001482367515564,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
5,249.9822780201711,40.29087060068988,0.09378092322838162,2.098052423686236,2.014338394054938,71.90980529785156,2614652.976040944,0.5001482367515564,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
6,250.18950232830562,40.46981259748349,0.09483306853532959,2.0380383756488567,2.018489844077977,72.18694305419922,2620739.955354941,0.5015823245048523,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
7,250.18950232830562,40.46981259748349,0.09483306853532959,2.0463972274575073,2.018489844077977,72.18826293945312,2620836.2493277765,0.5015823245048523,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
8,249.93655479924422,40.03034057110198,0.09719120051611049,2.4378610944337393,2.0392481820923343,72.2728271484375,2630181.8648307305,0.5001482367515564,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
9,250.18967789502972,41.876047687213585,0.09483306853532959,2.0553818014049052,2.1174984479899694,72.37966918945312,2631495.065764799,0.5258243083953857,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
10,249.9335884359978,40.24022634991107,0.09908255054424824,2.0476701476503565,2.072418746293954,72.6873550415039,2635011.838858257,0.5001482367515564,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
11,249.89875679477535,40.431070610369375,0.09958044563754782,2.0576749797670204,2.0175725184307094,72.85835266113281,2636840.546625226,0.5001482367515564,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
12,249.98095051205615,40.29462976704502,0.10055079547865609,2.057858035721958,2.014197031931622,73.29105377197266,2640334.0296653095,0.5001482367515564,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
13,249.89841791386448,41.27757092284614,0.10129921611622295,2.0512542442777506,2.155830245319475,73.3843994140625,2652112.2848191275,0.519715428352356,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
14,249.89841791386448,41.841259087237994,0.10090493935822707,2.0512542442777506,2.1167778210527324,73.42382049560547,2653380.5437554163,0.5252110362052917,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
15,249.9797186179847,40.44437082812716,0.10408043249689689,2.044458890457742,2.045721246666129,73.7294692993164,2655864.5796262645,0.5001482367515564,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
16,249.91476585881185,39.986161683046184,0.10526261214552705,2.0906649470279075,2.074289610473971,74.15538024902344,2658055.3627383676,0.5001482367515564,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
17,249.9822780201711,40.29087060068988,0.10538894578603793,2.098052423686236,2.0141971954993196,74.18531036376953,2660009.2393834805,0.5001482367515564,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
18,249.98240859658358,41.324394027951314,0.10534753882623052,2.0464939909315363,2.12537241732701,74.29521942138672,2668892.7893609246,0.519715428352356,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
19,249.91476585881185,41.912483212033116,0.10526261214552705,2.0207727058051277,2.074289610473971,74.3326644897461,2670730.9834245834,0.5258243083953857,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
20,249.90549931871726,40.41927212779675,0.10944895849315738,2.035542451728174,2.0377186257567375,74.7693099975586,2676630.158591144,0.5001482367515564,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
21,249.9160804297149,41.27770808174565,0.10980198719797868,2.442242534568874,2.0475328750221946,74.79163360595703,2689462.312709847,0.519715428352356,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
22,249.90931869146814,41.978099013871955,0.10924845904457664,2.3528797592221444,2.0377186257567375,74.8609848022461,2691026.3876822656,0.5258243083953857,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
23,250.18950232830562,40.46922128403512,0.11505075676692642,2.0380383756488567,2.018489844077977,74.87335968017578,2702174.7467133896,0.5015823245048523,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
24,249.93240956763682,40.37568955051179,0.11995296458683948,2.0981903330374303,2.0405683558683334,75.2079086303711,2721445.4741956047,0.5001482367515564,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
25,250.1866168479379,41.33321082406827,0.11983796826083401,2.0464939909315363,2.125011071534914,75.30675506591797,2732302.3727394706,0.519715428352356,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
26,250.20071297877664,41.33321082406827,0.12459925757875638,2.0464939909315363,2.125170314599771,75.37232208251953,2753562.9094504635,0.519715428352356,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
27,249.89547211007635,40.41928925656788,0.13390554339487448,2.2303825567957793,2.1245983595346973,75.6368179321289,2786616.240938215,0.5001482367515564,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
28,249.9877525171923,40.45521981089915,0.13389954937302678,2.09564617383355,2.157227685365769,75.71276092529297,2786822.1593904383,0.5001482367515564,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
29,249.9335884359978,40.37568955051179,0.1361263568827275,2.0981903330374303,2.0398996293821754,75.84590148925781,2793250.6262000836,0.5001482367515564,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
30,249.92831410503584,40.51605695936109,0.13687651787150748,2.099240991989784,2.1402094399000835,75.85279083251953,2800284.472881055,0.5015823245048523,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
31,249.9335884359978,41.31034533566046,0.1361263568827275,2.098828009682736,2.125218105461601,75.86771392822266,2804720.0752915973,0.519715428352356,Vavuniya,20.0,20.0,0.5,4000000.0,new_tank
